Country;Age_Group;Gender;EmploymentType;JobType;InformalWorker;Informal_Work_Type;OtherJob;JobLoss;JobRegain;MonthlyIncome;MonthlyIncome Bracket;IncomeChange;ExpenseResponsibility;LengthSurvival;MoneyForExpenses;ConcernExpenses;Expense_Concern_Rating;MonthlyNeed;TopPriority;LowPriority;Aid;AidSource_Aid_Organisations;AidSource_Charities_Donations;AidSource_Friends_family;AidSource_Government;AidSource_Not sure;AidSource_Other;AidSource_Religious_Organizations;COVIDLoans;MobileMoneyActivity;MobileMoneyDeposit;GovernmentPriority;;
Ivory Coast (Cote D'Ivoire);36+;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don’t know;Other;More concerned;5;150001 - 300000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Increased;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Male;Self-employed;N/A;Yes;Other;couturie;Yes;Yes;500001 - 1000000;4;Decreased a lot;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Employed part time;Other;Yes;Entrepreneur;Consultance, entrepreneur, modèle photo;Yes;Yes;150001- 300000;2;Decreased a lot;Yes;< a month;Savings;More concerned;4;300001 - 500000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Other;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Other;More concerned;5;0-150000;Food|Medical account;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Self-employed;N/A;Yes;Seller;Tresse;Yes;Don't know;0-150000;1;Decreased a lot;Yes;Don’t know;Savings;More concerned;5;300001 - 500000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Male;Employed full time;Large business;No;N/A;N/A;Yes;Don't know;300001 - 500000;3;Decreased a lot;Yes;< a month;Loan/ Credit;More concerned;5;500001 - 1000000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);36+;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Loan/ Credit;More concerned;1;300001 - 500000;Home Loan;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;No;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Not sure;;
Ivory Coast (Cote D'Ivoire);36+;Male;Self-employed;N/A;Yes;Seller;Rien;Yes;Don't know;0-150000;1;Decreased a lot;Yes;2-4 months;Salary/income;More concerned;5;0-150000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);36+;Male;Employed full time;Small business owner/employee;Yes;Other;Securité;No-I’m still able to work;N/A;0-150000;1;Decreased a lot;Yes;< a month;Other;No change;5;150001 - 300000;School fees;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;Yes;Other;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don’t know;Loan/ Credit;No change;5;150001 - 300000;Food;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;No;Not sure;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Employed full time;Educator;No;N/A;N/A;Yes;Yes;0-150000;1;Decreased a lot;Yes;1 month;Loan/ Credit;More concerned;5;150001 - 300000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Loan/ Credit;Less concerned;5;0-150000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);36+;Male;Employed full time;Large business;No;N/A;N/A;Yes;Don't know;Over 1000000;5;No change;Yes;< a month;Loan/ Credit;More concerned;5;500001 - 1000000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Not sure;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Don’t know;Yes;Other;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Employed full time;Small business owner/employee;Yes;Seller;Je vendeur de placage;Yes;Don't know;500001 - 1000000;4;Decreased a lot;Yes;1 month;Salary/income;More concerned;1;0-150000;Rent;Food;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Don’t know;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Self-employed;N/A;Yes;Seller;DJ;Yes;Don't know;0-150000;1;No change;Yes;1 month;Loan/ Credit;More concerned;4;0-150000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);36+;Male;Self-employed;N/A;Yes;Agriculture;Rien que la culture;Yes;Yes;Over 1000000;5;Decreased a lot;Yes;2-4 months;Loan/ Credit;More concerned;5;Over 1000000;Food|Medical account|School fees;Food|Medical account|Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);36+;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don’t know;Other;Less concerned;3;0-150000;Rent;Food;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Stayed the same;No;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Loan/ Credit;More concerned;5;0-150000;School fees;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Other;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Employed full time;Educator;No;N/A;N/A;No-I’m still able to work;N/A;0-150000;1;No change;Yes;< a month;Loan/ Credit;More concerned;5;0-150000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Don’t know;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Loan/ Credit;More concerned;5;0-150000;Rent;Food;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);36+;Female;Self-employed;N/A;Yes;Food service;Productrice d'attieké;Prefer not to say;N/A;300001 - 500000;3;Decreased a bit;Yes;Don’t know;Salary/income;Less concerned;3;0-150000;Rent;Home Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Other;N/A;;N/A;Élève;Yes;Don't know;0-150000;1;No change;Yes;< a month;Salary/income;No change;5;0-150000;School fees;Home Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Stayed the same;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Self-employed;N/A;Yes;Other;La couture;Prefer not to say;N/A;500001 - 1000000;4;Decreased a lot;Yes;< a month;Other;More concerned;5;500001 - 1000000;Other;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Don’t know;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Loan/ Credit;No change;1;0-150000;Vehicle Loan;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Don’t know;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Employed part time;Small business owner/employee;Yes;Seller;Rien;Yes;No;0-150000;1;Increased a bit;Yes;1 month;Loan/ Credit;Less concerned;2;0-150000;Food;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Self-employed;N/A;Yes;Transportation;Transport;Yes;Yes;0-150000;1;Decreased a lot;Yes;< a month;Savings;More concerned;1;150001 - 300000;Credit card;Food;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don’t know;Savings;More concerned;5;0-150000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);36+;Male;Self-employed;N/A;Yes;Other;Repetiteur;Yes;Don't know;0-150000;1;Decreased a lot;Yes;Don’t know;Salary/income;More concerned;4;0-150000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Loan/ Credit;Less concerned;5;150001 - 300000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Don’t know;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Don’t know;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Other;More concerned;5;150001 - 300000;Credit card;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);15-25;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Male;Other;N/A;;N/A;Vigil;No-I’m still able to work;N/A;0-150000;1;No change;Yes;< a month;Salary/income;No change;5;0-150000;Rent;Food;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;Yes;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);36+;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Reopening the economy;;
Ivory Coast (Cote D'Ivoire);36+;Male;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Other;No change;5;500001 - 1000000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Don’t know;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);36+;Male;Employed full time;Healthcare;No;N/A;N/A;Yes;No;0-150000;1;Decreased a lot;Yes;< a month;Salary/income;More concerned;1;150001 - 300000;Rent;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Stayed the same;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);26-35;Male;Employed full time;Educator;No;N/A;N/A;Yes;Yes;0-150000;1;No change;Yes;1 month;Salary/income;No change;2;500001 - 1000000;Food;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Don’t know;Yes;Not sure;;
Ivory Coast (Cote D'Ivoire);15-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Don’t know;No;Protecting people from COVID-19;;
Ivory Coast (Cote D'Ivoire);36+;Male;Employed full time;Government;No;N/A;N/A;No-I’m still able to work;N/A;0-150000;1;No change;Yes;< a month;Loan/ Credit;More concerned;5;0-150000;Food;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Stayed the same;No;Reopening the economy;;
